帖子编号,公共主页编号,公共主页名称,标题,描述,时长（秒）,发布时间,字幕类型,固定链接,交叉发布,分享帖,帖子类型,语言,自定义标签,赞助内容状态,数据注释,日期,观看量,覆盖人数,心情、评论和分享,心情,评论数,分享次数,总点击量,其他点击量,"符合受众定位用户的点击量（Photo Click）",链接点击量,"符合受众定位用户的点击量（Video Click）",观看时长（秒）,平均观看时长（秒）,"收入估值 （美元）","广告千次展示收益 （美元）",广告展示次数
961707629970580,100083940562505,DivebluesOfficial,"DivebluesOfficial 更换了头像。",,0,"05/20/2026 01:05",N/A,https://www.facebook.com/photo.php?fbid=961707629970580&set=a.133524126122272&type=3,0,0,照片,,,,,内容创建至今,98,69,0,0,0,0,0,,,,,,,,,
1013428831465126,100083940562505,DivebluesOfficial,"Some trips are about the landmarks. The best ones are also about everything in between: the train ride, the corner cafe, the unexpected street, and the sunset you did not plan for.
This is Europe at travel pace: look around, slow down, and keep a little breeze close for the next stop.

Where would your European trip begin?
#Diveblues #PortableFan #EuropeTravel #SummerTravel #TravelInspo","Some trips are about the landmarks. The best ones are also about everything in between: the train ride, the corner cafe, the unexpected street, and the sunset you did not plan for.
This is Europe at travel pace: look around, slow down, and keep a little breeze close for the next stop.

Where would your European trip begin?
#Diveblues #PortableFan #EuropeTravel #SummerTravel #TravelInspo",37,"07/20/2026 19:47",N/A,https://www.facebook.com/reel/2780102602355771/,0,0,视频,,,,,内容创建至今,4,4,1,1,0,0,0,,,,,8.271,2.067,0,0,0
1011083418366334,100083940562505,DivebluesOfficial,"It all comes down to Argentina vs Spain.
Two teams, one trophy, and millions of fans preparing to spend the entire match pretending they are completely relaxed. The final has everything: pressure, pride, and enough opinions to keep every group chat busy until kickoff.

Who takes it - Argentina or Spain? Make your final call.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"07/17/2026 19:19",N/A,https://www.facebook.com/Diveblues/posts/pfbid0MfBhF3LyVBH1Hz6SCr9155mBzDxQkBdF4gXDybgdd6CfTWau6LA1ddibpqr9esjvl,0,0,照片,,,,,内容创建至今,14,9,1,1,0,0,0,,,,,,,,,
1010280421779967,100083940562505,DivebluesOfficial,"We took our questions to the street and came back with much more than answers.

We found bold predictions, questionable guesses, unforgettable reactions, and fans who made every stop feel like its own game-day story. Here is a look back at the people and moments behind our street interview series.

Tell us your favorite moment from the series.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","We took our questions to the street and came back with much more than answers.

We found bold predictions, questionable guesses, unforgettable reactions, and fans who made every stop feel like its own game-day story. Here is a look back at the people and moments behind our street interview series.

Tell us your favorite moment from the series.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",66,"07/16/2026 18:58",auto,https://www.facebook.com/reel/1537538811201362/,0,0,视频,,,,,内容创建至今,22,8,1,1,0,0,0,,,,,459.915,32.851,0,0,0
1009450945196248,100083940562505,DivebluesOfficial,"The tournament is almost over, which means it is time for the argument that could last much longer than the matches.

Name your GOAT and make the case in the comments.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","The tournament is almost over, which means it is time for the argument that could last much longer than the matches.

Name your GOAT and make the case in the comments.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",35,"07/15/2026 18:39",auto,https://www.facebook.com/reel/1575234227670882/,0,0,视频,,,,,内容创建至今,13,8,0,0,0,0,0,,,,,75.702,7.57,0,0,0
1008635821944427,100083940562505,DivebluesOfficial,"Who’s bringing the energy, the passion, and the magic all the way to the top? ⚽🔥

Which team are you backing? 👀👇

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"07/14/2026 19:27",N/A,https://www.facebook.com/Diveblues/posts/pfbid0WJtyHLEiFtkfKUpR93kYRRyoArWcLQipGWTQ35S4oQoJXzRXu8KMpr9aCR3APyngl,0,0,照片,,,,,内容创建至今,20,14,1,1,0,0,0,,,,,,,,,
1007834345357908,100083940562505,DivebluesOfficial,"The questions brought us together, but the camera caught something else: personal style, real expressions, and the people who give game day its personality.

Which shot has the most main-character energy?

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"07/13/2026 19:14",N/A,https://www.facebook.com/Diveblues/posts/pfbid02qp6QuLt8snWV4GHQ9ooU8Zh4SV3fDbb34pZYTcRFWgD7s93yVkrVdkVnd1Gb9mFxl,0,0,照片,,,,,内容创建至今,14,11,2,2,0,0,0,,,,,,,,,
1007029015438441,100083940562505,DivebluesOfficial,"England are through to the final four, and the street interview confidence just went up another level.

The fans believe. The pressure is real. The old question is back again: is this finally the year it comes home?

Tell us - can England finish the job?

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","England are through to the final four, and the street interview confidence just went up another level.

The fans believe. The pressure is real. The old question is back again: is this finally the year it comes home?

Tell us - can England finish the job?

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",30,"07/12/2026 18:18",auto,https://www.facebook.com/reel/1022705746795581/,0,0,视频,,,,,内容创建至今,296,281,2,2,0,0,1,1,,,,1202.089,4.324,0,0,0
1004717815669561,100083940562505,DivebluesOfficial,"The bracket is getting smaller, and the opinions are getting louder.
We asked fans on the street one question: who is lifting the trophy when this is all over? 
This is your chance to make the prediction before hindsight joins the conversation.

Name your champion in the comments.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","The bracket is getting smaller, and the opinions are getting louder.
We asked fans on the street one question: who is lifting the trophy when this is all over? 
This is your chance to make the prediction before hindsight joins the conversation.

Name your champion in the comments.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",25,"07/09/2026 18:45",auto,https://www.facebook.com/reel/1732755037914232/,0,0,视频,,,,,内容创建至今,248,224,1,1,0,0,1,1,,,,1239.944,5.56,0,0,0
1003923835748959,100083940562505,DivebluesOfficial,"This street interview photo set belongs to the girls. Real reactions, easy confidence, and a whole group bringing their own kind of game-day mood to the street.

Tag the friend group that would own this interview.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"07/08/2026 18:54",N/A,https://www.facebook.com/Diveblues/posts/pfbid02KC1ZnbGUeDo2b4FFVThPwq3hMgS7hJDCVy9B8f2hoGB6oCm8Pw1jYfiC48Cf8yW7l,0,0,照片,,,,,内容创建至今,26,18,0,0,0,0,0,,,,,,,,,
